"Paper","Organism","Raw data avilable","Gmatrix","Pmatrix","cormatrix","directory","data link","Reference","Taxon1","Taxon2","NA","NA","NA","NA"
"For2009.467.csv","Taeniopygia.guttata",NA,1,NA,0,NA,NA,"Forstmeier.et.al.2009","V","A",NA,NA,NA,NA
"For2009.468.csv","Taeniopygia.guttata",NA,1,NA,0,NA,NA,"Forstmeier.et.al.2009","V","A",NA,NA,NA,NA
"Gar2008.201.csv","Parsus.major",NA,1,NA,0,NA,NA,"Garant.et.al.2008","V","A",NA,NA,NA,NA
"Gar2008.202.csv","Parsus.major",NA,1,NA,0,NA,NA,"Garant.et.al.2008","V","A",NA,NA,NA,NA
"Gem2001.472.csv","Trichoplusia.ni",NA,1,NA,0,NA,NA,"Gemeno.et.al.2001.BG","I","A",NA,NA,NA,NA
"Gem2001.473.csv","Trichoplusia.ni",NA,1,NA,0,NA,NA,"Gemeno.et.al.2001.BG","I","A",NA,NA,NA,NA
"Gom2009.219.csv","Erysimum.mediohispanicum",NA,1,NA,0,NA,NA,"Gomez.2009","P","P",NA,NA,NA,NA
"Gom2009.220.csv","Erysimum.mediohispanicum",NA,1,NA,0,NA,NA,"Gomez.2009","P","P",NA,NA,NA,NA
"Gun1997.215.csv","Callosobruchus.maculatus",NA,1,NA,0,NA,NA,"Guntrip.et.al.1997.Her","I","A",NA,NA,NA,NA
"Gun1997.216.csv","Callosobruchus.maculatus",NA,1,NA,0,NA,NA,"Guntrip.et.al.1997.Her","I","A",NA,NA,NA,NA
"Gun1997.217.csv","Callosobruchus.maculatus",NA,1,NA,0,NA,NA,"Guntrip.et.al.1997.Her","I","A",NA,NA,NA,NA
"Gun1997.218.csv","Callosobruchus.maculatus",NA,1,NA,0,NA,NA,"Guntrip.et.al.1997.Her","I","A",NA,NA,NA,NA
"Hlu2009.243.csv","Papio.hamadryas",NA,1,NA,0,NA,NA,"Hlusko.Mahaney.2009","V","A",NA,NA,NA,NA
"Hou2005.226.csv","Onthophagus.taurus",NA,1,NA,0,NA,NA,"House.Simmons.2005.JEB","I","A",NA,NA,NA,NA
"Jen2003.246.csv","Passer.domesticus",NA,1,NA,0,NA,NA,"Jensen.et.al.2003","V","A",NA,NA,NA,NA
"Jen2003.247.csv","Passer.domesticus",NA,1,NA,0,NA,NA,"Jensen.et.al.2003","V","A",NA,NA,NA,NA
"Jen2003.248.csv","Passer.domesticus",NA,1,NA,0,NA,NA,"Jensen.et.al.2003","V","A",NA,NA,NA,NA
"Kac2008.256.csv","Innicotiana.alata",NA,1,NA,0,NA,NA,"Kaczorowski.et.al.2008","P","P",NA,NA,NA,NA
"Kim2010.257.csv","Taeniopygia.guttata",NA,1,NA,0,NA,NA,"Kim.et.al.2010","V","A",NA,NA,NA,NA
"Kra2006.469.csv","Rana.lessonae",NA,1,NA,0,NA,NA,"Kraft.et.al.2006","V","A",NA,NA,NA,NA
"Kra2006.470.csv","Rana.lessonae",NA,1,NA,0,NA,NA,"Kraft.et.al.2006","V","A",NA,NA,NA,NA
"Kum2007.255.csv","lowland.rice",NA,1,NA,0,NA,NA,"Kumar.et.al.2007","P","P",NA,NA,NA,NA
"Mer1993.282.csv","Ficedula.albicollis",NA,1,NA,0,NA,NA,"Merila.Gustafsson.1993.Her","V","A",NA,NA,NA,NA
"Mer1996.279.csv","Ficedula.albicollis",NA,1,NA,0,NA,NA,"Merila.Gustafsson.1996.Her","V","A",NA,NA,NA,NA
"Mer1996.280.csv","Ficedula.albicollis",NA,1,NA,0,NA,NA,"Merila.Gustafsson.1996.Her","V","A",NA,NA,NA,NA
