Paper,Organism,Raw data avilable,Gmatrix,cormatrix,directory,data link,Reference,Taxon1,Taxon2
Del1995,Spergularia.marina,NA,0,1,NA,NA,Delesalle.Mazer.1995.AJB,P,P
Del2004,Silene.latifolia,NA,0,1,NA,NA,Delph.et.al.2004,P,P
Don2005,Arabidopsis.thaliana,NA,0,1,NA,NA,Donohue.et.al.2005.AmNat,P,P
Dor2008,Acrobeloides.nanus,NA,0,1,NA,NA,Doroszuk.et.al.2008.AmNat,I,A
Ell1998,Solanum.carolinese,NA,0,1,NA,NA,Elle.1998.Her,P,P
Esc2009,Physa.acuta,NA,0,1,NA,NA,Escobar.et.al.2009,I,A
Fis2002,Mimulus.nasutus.x.Mimulus.guttatus,NA,0,1,NA,NA,Fishman.et.al.2002.Evo,P,P
For2009,Taeniopygia.guttata,NA,0,1,NA,NA,Forstmeier.et.al.2009,V,A
Gar2008,Parsus.major,NA,0,1,NA,NA,Garant.et.al.2008,V,A
Gem2001,Trichoplusia.ni,NA,0,1,NA,NA,Gemeno.et.al.2001.BG,I,A
Gom2009,Erysimum.mediohispanicum,NA,0,1,NA,NA,Gomez.2009,P,P
Goo1997,Tribolium.castaneum,NA,0,1,NA,NA,Goodnight.Schwartz.1997,I,A
Goo2003,Campanula.rapunculoides,NA,0,1,NA,NA,Good-Avila.Stephenson.2003.AmNat,P,P
Gri1997,Harmonia.axyridis,NA,0,1,NA,NA,Grill.et.al.1997.Her,I,A
Gun1997,Callosobruchus.maculatus,NA,0,1,NA,NA,Guntrip.et.al.1997.Her,I,A
Har2001,Macadamia.integrifolia,NA,0,1,NA,NA,Hardner.et.al.2001.Euphytica,P,P
Hau2005,Arabidopsis.thaliana,NA,0,1,NA,NA,Hausmann.et.al.2005.Evo,P,P
Hin2004,Drosophila.serrata,NA,0,1,NA,NA,Hine.et.al.2004,I,A
Hin2006,Drosophila.serrata,NA,0,1,NA,NA,Hine.Blows.2006.Gen,I,A
Hlu2009,Papio.hamadryas,NA,0,1,NA,NA,Hlusko.Mahaney.2009,V,A
