Paper,Organism,Raw data avilable on DRYAD,Gmatrix,cormatrix,directory,data link,Reference,Taxon1,Taxon2,Title,Pmatrix,Means,Paper Link,full reference,Email,
Col1999,Achroia.grisella,0,0,1,NA,NA,Collins.et.al.1999.Her,I,A,Quantitative genetics of ultrasonic advertisement signalling in the lesser waxmoth Achroia grisella (Lepidoptera: pyralidae),1,1,10.1038/sj.hdy.6885540,"Collins, R.D., Jang, Y., Reinhold, K. & Greenfield, M.D. 1999, ""Quantitative genetics of ultrasonic advertisement signalling in the lesser waxmoth Achroia grisella (Lepidoptera: pyralidae)"", Heredity, vol. 83 ( Pt 6), no. 6, pp. 644-651.",NA,
Col2005,Ovis.canadensis,0,1,1,NA,NA,Coltman.et.al.2005.Evo,V,A,SELECTION AND GENETIC (CO)VARIANCE IN BIGHORN SHEEP,1,0,10.1554/04-134,"Coltman, D.W., O'Donoghue, P., Hogg, J.T. & Festa-Bianchet, M. 2005, ""SELECTION AND GENETIC (CO)VARIANCE IN BIGHORN SHEEP"", Evolution, vol. 59, no. 6, pp. 1372-1382.",NA,
Con1992,Tribolium.castaneum,0,1,1,NA,NA,Conner.Via.1992.Her,I,A,Natural selection on body size in Tribolium: possible genetic constraints on adaptive evolution,1,1,10.1038/hdy.1992.96,"Conner, J. & Via, S. 1992, ""Natural selection of body size in Tribolium : Possible genetic constraints on adaptive evolution"", Heredity, vol. 69, no. 1, pp. 73-84.",NA,
Con1997,Raphanus.raphanistrum,0,0,1,NA,NA,Conner.1997.IJPS,P,P,"Floral Evolution in Wild Radish: The Roles of Pollinators, Natural Selection, and Genetic Correlations Among Traits",0,0,10.1086/297511,"Conner, J.K. 1997, ""Floral Evolution in Wild Radish: The Roles of Pollinators, Natural Selection, and Genetic Correlations Among Traits"", International journal of plant sciences, vol. 158, no. 6, pp. S108-S120.",NA,
Con2003,Raphanus.raphanistrum,0,1,1,NA,NA,Conner.et.al.2003,P,P,EXPRESSION OF ADDITIVE GENETIC VARIANCES AND COVARIANCES FOR WILD RADISH FLORAL TRAITS: COMPARISON BETWEEN FIELD AND GREENHOUSE ENVIRONMENTS,1,1,10.1554/0014-3820(2003)057[0487:EOAGVA]2.,"Conner, J.K., Franks, R. & Stewart, C. 2003, ""EXPRESSION OF ADDITIVE GENETIC VARIANCES AND COVARIANCES FOR WILD RADISH FLORAL TRAITS: COMPARISON BETWEEN FIELD AND GREENHOUSE ENVIRONMENTS"", Evolution, vol. 57, no. 3, pp. 487-495.",NA,
Cot2004,Spodoptera.littoralis,0,0,1,NA,NA,Cotter.et.al.2004.JEB,I,A,Costs of resistance: genetic correlations and potential trade-offs in an insect immune system,1,1,10.1046/j.1420-9101.2003.00655.x,"Cotter, S.C., Kruuk, L.E.B. & Wilson, K. 2004, ""Costs of resistance: genetic correlations and potential trade-offs in an insect immune system"", Journal of Evolutionary Biology, vol. 17, no. 2, pp. 421-429.",NA,
Cow1990,Drosophila.melanogaster,0,0,1,NA,NA,Cowley.Atchley.1990.AmNat,I,A,Development and Quantitative Genetics of Correlation Structure Among Body Parts of Drosophila melanogaster,1,0,10.1086/285041,"Cowley, D.E. & Atchley, W.R. 1990, ""Development and Quantitative Genetics of Correlation Structure Among Body Parts of Drosophila melanogaster"", The American Naturalist, vol. 135, no. 2, pp. 242-268.",NA,
Del1995,Spergularia.marina,0,0,1,NA,NA,Delesalle.Mazer.1995.AJB,P,P,The Structure of Phenotypic Variation in Gender and Floral Traits within and Among Populations of Spergularia marina (Caryophyllaceae),1,1,http://www.jstor.org/stable/2445620,"Delesalle, V.A. & Mazer, S.J. 1995, ""The structure of phenotypic variation in gender and floral traits within and among populations of Spergularia marina (Caryophyllaceae)"", American Journal of Botany, vol. 82, no. 6, pp. 798.",NA,
Del2004,Silene.latifolia,0,1,1,NA,NA,Delph.et.al.2004,P,P,Investigating the independent evolution of the size of floral organs via G-matrix estimation and artificial selection,1,1,10.1111/j.1525-142X.2004.04052.x,"Delph, L.F., Frey, F.M., Steven, J.C. & Gehring, J.L. 2004, ""Investigating the independent evolution of the size of floral organs via G-matrix estimation and artificial selection"", Evolution & development, vol. 6, no. 6, pp. 438-448.",NA,
Don2005,Arabidopsis.thaliana,0,0,1,NA,NA,Donohue.et.al.2005.AmNat,P,P,Genetic basis and consequences of niche construction: plasticity-induced genetic constraints on the evolution of seed dispersal in Arabidopsis thaliana,1,0,10.1086/429162,"Donohue, K., Polisetty, C.R. & Wender, N.J. 2005, ""Genetic basis and consequences of niche construction: plasticity-induced genetic constraints on the evolution of seed dispersal in Arabidopsis thaliana"", The American Naturalist, vol. 165, no. 5, pp. 537-550.",NA,
