"tarsuslength","winglength","billdepth","billlength","bodymass"
1,0.188,0.258,0.169,0.362
0.188,1,0.24,0.068,-0.015
0.258,0.24,1,0.185,0.218
0.169,0.068,0.185,1,0.047
0.362,-0.015,0.218,0.047,1
