"chlorophyll.concentration","Stomatal.conductance","water.use.efficiency","Rosette.size","specific.leaf.area"
1,0.079,0.528,-0.388,-0.311
0.079,1,-0.634,-0.173,-0.532
0.528,-0.634,1,-0.094,-0.136
-0.388,-0.173,-0.094,1,-0.361
-0.311,-0.532,-0.136,-0.361,1
