"malelength","femalelength","malewidth","femaleweight","femalewidth"
1,5.30071325159263,1.03619542288163,1.84385598083169,1.39686059153916
5.30071325159263,1,3.12771621085612,-0.0632455532033676,2.21359436211787
1.03619542288163,3.12771621085612,1,1.79351488763654,1.8462653255082
1.84385598083169,-0.0632455532033676,1.79351488763654,1,0.72
1.39686059153916,2.21359436211787,1.8462653255082,0.72,1
