"dentitionM1dw","dentitionM3mw","dentitionl2ll","dentitionP3w","dentitionP3l"
1,0.582999999,-0.314000001,0.050999998,0.248999997
0.582999999,1,-0.085,0.469000001,0.546
-0.314000001,-0.085,1,0.151,-0.059999998
0.050999998,0.469000001,0.151,1,0.706000002
0.248999997,0.546,-0.059999998,0.706000002,1
