"intersetal.width","head.width","antenna.length","head.length","foretibia.length"
1,0.33,-0.1,0.2,0.08
0.33,1,-0.56,-0.39,-0.17
-0.1,-0.56,1,0.89,0
0.2,-0.39,0.89,1,0.09
0.08,-0.17,0,0.09,1
