"plant.height","plant.width","leaf.length","leaf.width","shoot.weight","root.weight","root.to.shoot.ratio","leaf.carbon.isotope.discrimination"
1,0.74,0.72,-0.34,0.7,0.67,0,0.21
0.74,1,0.91,-0.17,0.82,0.79,0,0.21
0.72,0.91,1,-0.15,0.74,0.71,-0.02,0.22
-0.34,-0.17,-0.15,1,-0.04,-0.05,-0.05,-0.22
0.7,0.82,0.74,-0.04,1,0.95,0.03,0.11
0.67,0.79,0.71,-0.05,0.95,1,0.33,0.1
0,0,-0.02,-0.05,0.03,0.33,1,0.03
0.21,0.21,0.22,-0.22,0.11,0.1,0.03,1
