pronotum.length,spermatophoremass,spermampullamass,%spermviability,testes.mass,spermnumbers
1,0.01,0.05,0.05,-0.01,0.06
0.01,1,0.45,0.1,0.19,0.12
0.05,0.45,1,-0.01,0.17,0.09
0.05,0.1,-0.01,1,-0.11,0.07
-0.01,0.19,0.17,-0.11,1,0.07
0.06,0.12,0.09,0.07,0.07,1
