"head.length","head.width","antenna.length","foretibia.length","midtibia.length","wing.vein.length","intersetal.width"
1,-0.14,0.77,0.24,0.29,-0.02,0.14
-0.14,1,-0.05,0.17,0.22,0.02,0.28
0.77,-0.05,1,0.24,0.33,-0.05,0.09
0.24,0.17,0.24,1,0.73,0.1,0.17
0.29,0.22,0.33,0.73,1,0.06,0.14
-0.02,0.02,-0.05,0.1,0.06,1,0.11
0.14,0.28,0.09,0.17,0.14,0.11,1
