mass.at.hatching,mass.at.72hrs,mass.at.dispersal,mass.at.emergence,hatching.to.dispersal,wandering.stage,in.pupal.chamber,hatching.to.emergence
1,0.2,0.1,0.1,-0.14,0.26,-0.01,0.18
0.2,1,0.63,0.51,-0.42,0.15,0.24,0.17
0.1,0.63,1,0.92,0.1,0.19,0.47,0.49
0.1,0.51,0.92,1,0.15,0.18,0.34,0.42
-0.14,-0.42,0.1,0.15,1,-0.13,0.13,0.4
0.26,0.15,0.19,0.18,-0.13,1,0.17,0.59
-0.01,0.24,0.47,0.34,0.13,0.17,1,0.55
0.18,0.17,0.49,0.42,0.4,0.59,0.55,1
