"floweringdate","gynoeciumlength","corollalength","corollawidth","stigmaexsertion","nectarvolume","nectarsugar"
1,0,0.19,0.15,-0.16,0.1,0.09
0,1,0.42,-0.02,0.61,0.07,0.11
0.19,0.42,1,0.09,-0.45,0.03,0.02
0.15,-0.02,0.09,1,-0.09,0.12,0.13
-0.16,0.61,-0.45,-0.09,1,0.04,0.08
0.1,0.07,0.03,0.12,0.04,1,0.97
0.09,0.11,0.02,0.13,0.08,0.97,1
