body.mass,early.MMA,late.MMA,slope.of.mortality,intercept.of.mortality,mean.longevity,fertility
1,-0.038,0.075,-0.09,-0.051,0.075,0.076
-0.038,1,0.043,0.037,-0.054,0.014,0.105
0.075,0.043,1,-0.02,0.016,0.07,0.115
-0.09,0.037,-0.02,1,-0.442,0.011,0.052
-0.051,-0.054,0.016,-0.442,1,-0.251,0.314
0.075,0.014,0.07,0.011,-0.251,1,-0.104
0.076,0.105,0.115,0.052,0.314,-0.104,1
