wingarea,wingveinangle1,wingveinangle2,wingveinangle3,wingveinangle4,wingveinangle5
17.360000,3.940000,1.420000,0.430000,1.600000,1.510000
3.940000,14.470000,-11.260000,0.920000,3.230000,-1.920000
1.420000,-11.260000,44.430000,-0.430000,-1.660000,3.180000
0.430000,0.920000,-0.430000,1.270000,2.470000,0.100000
1.600000,3.230000,-1.660000,2.470000,2.520000,-0.100000
1.510000,-1.920000,3.180000,0.100000,-0.100000,7.380000
