"tarsuslength","winglength","billdepth","billlength","bodymass"
1,0.19,0.297,0.185,0.309
0.19,1,0.165,0.126,0.146
0.297,0.165,1,0.252,0.192
0.185,0.126,0.252,1,-0.04
0.309,0.146,0.192,-0.04,1
