"petal.size","fruit.set","flower.number","ovules.per.flower","pollen.per.flower"
1,-0.2,0.01,0.14,0.35
-0.2,1,-0.01,0,-0.25
0.01,-0.01,1,0.08,-0.02
0.14,0.14,0,1,0.2
0.35,-0.25,-0.02,0.2,1
