"plantheight","pedunclelength","leaflength","sepallength","nectarylength","stamenlength","pistillength"
1,0.3,0.66,0.38,0.64,0.66,0.41
0.3,1,-0.35,-0.37,-0.1,-0.31,-0.03
0.66,-0.35,1,0.6,0.7,0.83,0.62
0.38,-0.37,0.6,1,0.59,0.55,0.51
0.64,-0.1,0.7,0.59,1,0.85,0.55
0.66,-0.31,0.83,0.55,0.85,1,0.74
0.41,-0.03,0.62,0.51,0.55,0.74,1
