tarsuslength,winglength,billdepth,billlength,bodymass
1,0.219,0.221,0.161,0.473
0.219,1,0.237,0.144,0.194
0.221,0.237,1,0.133,0.342
0.161,0.144,0.133,1,0.133
0.473,0.194,0.342,0.133,1
