"prementumwidth","prementumlength","epipharynxwidth","epipharynxlength","palatalplatelength","greatestwidthofpalatalplate","betweenmystaxbristledistance","eyewidth","eyelength","winglength","wingwidth","scutellumwidth","scutellumlength","tibialength","tibiawidth","basitarsuslength","basitarsuswidth"
1,0.265857847410267,0.308431886033566,0.274806162392221,0.26314362494288,0.396879727174799,0.211969985539339,0.278219067288767,0.262745012178381,0.256718418095107,0.276348418921877,0.301658601227465,0.160796132259576,0.300352874674753,0.115284746572835,0.245514818776615,0.0631707523237253
0.265857847410267,1,0.233291750263283,0.28711864472765,0.27404934285764,0.32663149244677,0.189700294791266,0.25876781394058,0.300174475479149,0.260599354884123,0.286710229757487,0.224685961136123,0.144336272009075,0.31399540984135,0.0807042098378592,0.293702972491769,0.102328931856357
0.308431886033566,0.233291750263283,1,0.162345375060904,0.20620204516181,0.565859018060209,0.201193046829978,0.238732447406019,0.258860880604513,0.25184835669453,0.0268502463423259,0.207867819870874,0.154438810945514,0.249334150823471,0.141406502193008,0.255830438180874,0.136150942189873
0.274806162392221,0.28711864472765,0.162345375060904,1,0.537541781614695,0.285702126855293,0.221789416511154,0.257499035181583,0.406726657011478,0.307755854895612,0.292510953241301,0.288523457737011,0.175178041929492,0.368021926184624,0.0889333037097797,0.294954023343563,0.107503545432864
0.26314362494288,0.27404934285764,0.20620204516181,0.537541781614695,1,0.312888634386464,0.276651366663736,0.381135704909841,0.490114873308488,0.439472795306189,0.403376854816091,0.420221968136148,0.250491206571643,0.528455169222926,0.198198022312325,0.423043118989138,0.182941899614012
0.396879727174799,0.32663149244677,0.565859018060209,0.285702126855293,0.312888634386464,1,0.292972298904417,0.350047062297422,0.402633451918868,0.386662437128388,0.375100878347439,0.370955155676456,0.236906144164588,0.413848557597478,0.228544565030194,0.390847092267688,0.154331474148958
0.211969985539339,0.189700294791266,0.201193046829978,0.221789416511154,0.276651366663736,0.292972298904417,1,-0.211148322392638,0.32025760079914,0.359315073506439,0.34240084578171,0.331432312263778,0.223475019957652,0.360173222649484,0.18117404638793,0.27647371530292,0.0842186713547858
0.278219067288767,0.25876781394058,0.238732447406019,0.257499035181583,0.381135704909841,0.350047062297422,-0.211148322392638,1,0.550246144790818,0.38339263430104,0.369918020529047,0.149684605003894,0.208974091104879,0.44178477590146,0.231781539411912,0.41371997681125,0.156384697678518
0.262745012178381,0.300174475479149,0.258860880604513,0.406726657011478,0.490114873308488,0.402633451918868,0.32025760079914,0.550246144790818,1,0.43561184997755,0.421944332110938,0.421233924110383,0.23645625533658,0.511142718845862,0.22524154698118,0.446315724691046,0.156098969718852
0.256718418095107,0.260599354884123,0.25184835669453,0.307755854895612,0.439472795306189,0.386662437128388,0.359315073506439,0.38339263430104,0.43561184997755,1,0.778788153624737,0.512033913540615,0.36014047197606,0.664893592311756,0.30230302164081,0.580299420255252,0.173499836932237
0.276348418921877,0.286710229757487,0.0268502463423259,0.292510953241301,0.403376854816091,0.375100878347439,0.34240084578171,0.369918020529047,0.421944332110938,0.778788153624737,1,0.510157261705936,0.311204299765381,0.560673623071833,0.312107206535839,0.516729329668259,0.172441399434104
0.301658601227465,0.224685961136123,0.207867819870874,0.288523457737011,0.420221968136148,0.370955155676456,0.331432312263778,0.149684605003894,0.421233924110383,0.512033913540615,0.510157261705936,1,0.446426973390073,0.522663646892366,0.272120919270066,0.420454985724829,0.0992522817679885
0.160796132259576,0.144336272009075,0.154438810945514,0.175178041929492,0.250491206571643,0.236906144164588,0.223475019957652,0.208974091104879,0.23645625533658,0.36014047197606,0.311204299765381,0.446426973390073,1,0.326102279733862,0.176040894038139,0.261667641960043,0.111897392375987
0.300352874674753,0.31399540984135,0.249334150823471,0.368021926184624,0.528455169222926,0.413848557597478,0.360173222649484,0.44178477590146,0.511142718845862,0.664893592311756,0.560673623071833,0.522663646892366,0.326102279733862,1,0.324589353710417,0.643338706526483,0.23669103876712
0.115284746572835,0.0807042098378592,0.141406502193008,0.0889333037097797,0.198198022312325,0.228544565030194,0.18117404638793,0.231781539411912,0.22524154698118,0.30230302164081,0.312107206535839,0.272120919270066,0.176040894038139,0.324589353710417,1,0.304497181942258,0.00183466782603359
0.245514818776615,0.293702972491769,0.255830438180874,0.294954023343563,0.423043118989138,0.390847092267688,0.27647371530292,0.41371997681125,0.446315724691046,0.580299420255252,0.516729329668259,0.420454985724829,0.261667641960043,0.643338706526483,0.304497181942258,1,0.117761748476341
0.0631707523237253,0.102328931856357,0.136150942189873,0.107503545432864,0.182941899614012,0.154331474148958,0.0842186713547858,0.156384697678518,0.156098969718852,0.173499836932237,0.172441399434104,0.0992522817679885,0.111897392375987,0.23669103876712,0.00183466782603359,0.117761748476341,1
