"petal.size","fruit.set","flower.number","ovules.per.flower","pollen.per.flower"
1,-0.12,0.06,0.07,0.32
-0.12,1,-0.04,0.02,-0.14
0.06,-0.04,1,0.04,-0.06
0.07,0.02,0.04,1,0.2
0.32,-0.14,-0.06,0.2,1
