wingarea,wingveinangle1,wingveinangle2,wingveinangle3,wingveinangle4,wingveinangle5
14.36000,2.71000,1.20000,0.45000,0.82000,0.77000
2.71000,11.41000,-10.48000,0.70000,2.27000,-1.57000
1.20000,-10.48000,37.35000,-0.39000,-1.33000,2.57000
0.45000,0.70000,-0.39000,1.05000,0.75000,0.18000
0.82000,2.27000,-1.33000,0.75000,1.92000,-0.03000
0.77000,-1.57000,2.57000,0.18000,-0.03000,5.53000
