ovule.no,seed.no,seed.mass,anther.no,pollen.no,pollen.size,anthers.per.ovule,pollen.per.ovule,petal.no,petal.size
1,-0.118,-0.049,0.023,0.257,-0.217,0,0,-0.002,0.204
-0.118,1,0.045,0.209,0.006,0.175,0.225,0.035,0.091,0.065
-0.049,0.045,1,0.158,0.042,0.154,0.18,0.053,0.08,-0.1
0.023,0.209,0.158,1,0.239,-0.153,0,0.223,0.452,0.123
0.257,0.006,0.042,0.239,1,0.183,0.094,0,0.251,-0.04
-0.217,0.175,0.154,-0.153,0.183,1,-0.041,0.267,-0.153,-0.202
0,0.225,0.18,0,0.094,-0.041,1,0.224,0.391,0.073
0,0.035,0.053,0.223,0,0.267,0.224,1,0.525,-0.132
-0.002,0.091,0.08,0.452,0.251,-0.153,0.391,0.525,1,0.111
0.204,0.065,-0.1,0.123,-0.04,-0.202,0.073,-0.132,0.111,1
