ventralscales,subcaudalscales,midbodydorsalscales,infralabialscales,supralabialscales,postocularscales
15.140,3.849,-0.163,0.129,0.197,-0.049
3.849,17.051,0.230,0.133,-0.263,0.101
-0.163,0.230,0.799,0.014,0.039,-0.055
0.129,0.133,0.014,0.542,0.031,0.023
0.197,-0.263,0.039,0.031,0.751,0.034
-0.049,0.101,-0.055,0.023,0.034,0.546
