ventralscales,subcaudalscales,midbodydorsalscales,infralabialscales,supralabialscales,postocularscales
11.095,0.999,0.020,-0.168,0.507,0.079
0.999,13.919,0.044,0.400,-0.049,0.367
0.020,0.044,0.382,-0.002,0.085,0.023
-0.168,0.400,-0.002,1.472,0.290,0.046
0.507,-0.049,0.085,0.290,0.948,0.044
0.079,0.367,0.023,0.046,0.044,0.452
