ventralscales,subcaudalscales,midbodydorsalscales,infralabialscales,supralabialscales,postocularscales
15.706,4.440,0.073,0.286,0.274,0.238
4.440,13.272,-0.296,0.403,0.043,0.057
0.073,-0.296,0.218,0.107,0.051,0.016
0.286,0.403,0.107,1.186,0.216,0.042
0.274,0.043,0.051,0.216,0.913,0.060
0.238,0.057,0.016,0.042,0.060,0.445
