interLMdistanceA,interLMdistanceB,interLMdistanceC,interLMdistanceD,interLMdistanceE,interLMdistanceF,interLMdistanceG,interLMdistanceH,interLMdistanceI,interLMdistanceJ
18.17,2.84,7.29,0.38,2.28,1.1,5.88,-0.55,-1.27,-0.33
2.84,10.82,6.95,1.82,4.78,7.26,6.06,0.39,2.56,3.16
7.29,6.95,30.03,23.44,14.85,17.93,22.43,0.45,6.12,5.34
0.38,1.82,23.44,45.69,26.74,40.92,20.71,5.16,20.79,14.82
2.28,4.78,14.85,26.74,36.75,32.43,21.33,10.04,10.74,-3.46
1.1,7.26,17.93,40.92,32.43,49.96,25.17,6.01,24.06,17.83
5.88,6.06,22.43,20.71,21.33,25.17,33.95,-3.26,3.5,5.62
-0.55,0.39,0.45,5.16,10.04,6.01,-3.26,12.56,7.83,-3.94
-1.27,2.56,6.12,20.79,10.74,24.06,3.5,7.83,21.44,13.52
-0.33,3.16,5.34,14.82,-3.46,17.83,5.62,-3.94,13.52,21.47
