rosette.vigor,days.to.flower,flower.number,flowers.per.inflorescence,pollen.number,pollen.size,ovule.number
1,-0.9,0.25,0.09,0.09,0.01,0.08
-0.9,1,-0.25,-0.21,-0.16,-0.23,-0.11
0.25,-0.25,1,0.34,0.08,0.16,0.05
0.09,-0.21,0.34,1,0.15,0.13,0.14
0.09,-0.16,0.08,0.15,1,-0.15,0.18
0.01,-0.23,0.16,0.13,-0.15,1,0.06
0.08,-0.11,0.05,0.14,0.18,0.06,1
