petallength,petalwidth,petalclawwidth,ovarylength,hypanthiumlength
4.419500,2.594300,0.043400,2.692200,0.268500
2.594300,3.403600,0.070200,1.820400,0.133400
0.043400,0.070200,0.147000,0.068200,0.003400
2.692200,1.820400,0.068200,6.871280,0.368600
0.268500,0.133400,0.003400,0.368600,0.180000
