ventralscales,subcaudalscales,midbodydorsalscales,infralabialscales,supralabialscales,postocularscales
22.967,4.875,0.079,0.283,0.084,0.163
4.875,21.174,-0.110,0.085,-0.010,0.109
0.079,-0.110,1.023,0.009,-0.018,-0.038
0.283,0.085,0.009,0.380,0.057,0.054
0.084,-0.010,-0.018,0.057,0.370,0.033
0.163,0.109,-0.038,0.054,0.033,0.450
