"plant.height","root.weight","leaf.length","root.to.shoot.ratio","shoot.weight"
1,0.67,0.72,0,0.7
0.67,1,0.71,0.33,0.95
0.72,0.71,1,-0.02,0.74
0,0.33,-0.02,1,0.03
0.7,0.95,0.74,0.03,1
