"bill.width","primary.length","wing.length","tarsus.length","tail.length"
1,0.119,0.093,0.164,0.049
0.119,1,0.374,0.237,0.231
0.093,0.374,1,0.197,0.417
0.164,0.237,0.197,1,0.086
0.049,0.231,0.417,0.086,1
