"no.florets.per.head","no.outer.bracts","no.intermediate.achenes","no.bracts","percentage.of.peripheral.achenes"
1,0.49,-0.05,0.53,-0.36
0.49,1,-0.11,0.92,-0.28
-0.05,-0.11,1,-0.06,0.16
0.53,0.92,-0.06,1,-0.32
-0.36,-0.28,0.16,-0.32,1
