"X12.Ac","Z7.14.Ac","Z5.12.Ac","X11.12.Ac","Z7.12.Ac"
1,0.37,0.39,0.86,0.77
0.37,1,0.39,0.2,0.26
0.39,0.39,1,0.41,0.51
0.86,0.2,0.41,1,0.83
0.77,0.26,0.51,0.83,1
