"femurlength","headwidth","prothoraxlength","prothoraxwidth","ovipositorlength"
2.7,2.46,2.6,2.54,2.57
2.46,3.11,2.83,2.88,2.96
2.6,2.83,3.87,2.98,2.95
2.54,2.88,2.98,3.27,2.86
2.57,2.96,2.95,2.86,5.54
