"interLMdistanceA","interLMdistanceB","interLMdistanceC","interLMdistanceD","interLMdistanceE","interLMdistanceF","interLMdistanceG","interLMdistanceH","interLMdistanceI","interLMdistanceJ"
1,0.202547667365264,0.312084643036771,0.0131885045630046,0.0882325257682175,0.0365093420696669,0.236744540754751,-0.036407462104467,-0.0643448609635816,-0.0167078456300913
0.202547667365264,1,0.385561364089126,0.0818553704984875,0.239709692347177,0.312256707038194,0.316183428574532,0.0334546242910755,0.16807918920528,0.207327747818585
0.312084643036771,0.385561364089126,1,0.63280421348264,0.447012961306146,0.462904506323645,0.70247636710776,0.0231707466143614,0.241191148497346,0.210304017252611
0.0131885045630046,0.0818553704984875,0.63280421348264,1,0.652562558723183,0.856473304925616,0.525835170520612,0.215399307586118,0.664249933789719,0.47317479473302
0.0882325257682175,0.239709692347177,0.447012961306146,0.652562558723183,1,0.756845202066564,0.603868386855582,0.467315538072056,0.382616081064142,-0.123177505509308
0.0365093420696669,0.312256707038194,0.462904506323645,0.856473304925616,0.756845202066564,1,0.611156044471487,0.239921096422458,0.735143323967765,0.544407508147554
0.236744540754751,0.316183428574532,0.70247636710776,0.525835170520612,0.603868386855582,0.611156044471487,1,-0.157871193074629,0.129728609923375,0.208161497753192
-0.036407462104467,0.0334546242910755,0.0231707466143614,0.215399307586118,0.467315538072056,0.239921096422458,-0.157871193074629,1,0.477149586549828,-0.239930456273942
-0.0643448609635816,0.16807918920528,0.241191148497346,0.664249933789719,0.382616081064142,0.735143323967765,0.129728609923375,0.477149586549828,1,0.63015629476792
-0.0167078456300913,0.207327747818585,0.210304017252611,0.47317479473302,-0.123177505509308,0.544407508147554,0.208161497753192,-0.239930456273942,0.63015629476792,1
