"ovule.no","seed.no","seed.mass","anther.no","pollen.no","pollen.size","anthers.per.ovule","pollen.per.ovule","petal.no","petal.size"
1,-0.118,-0.049,0.023,0.257,-0.217,0,0,-0.002,0.204
-0.118,1,0.045,0.209,0.006,0.175,0,0,0.091,0.065
-0.049,0.045,1,0.158,0.042,0.154,0,0,0.08,-0.1
0.023,0.209,0.158,1,0.239,-0.153,0,0,0.452,0.123
0.257,0.006,0.042,0.239,1,0.183,0,0,0.251,-0.04
-0.217,0.175,0.154,-0.153,0.183,1,0,0,-0.153,-0.202
-0.002,0.091,0.08,0.452,0.251,-0.153,0,0,1,0.111
0.204,0.065,-0.1,0.123,-0.04,-0.202,0,0,0.111,1
