"face.width","head.width","eye.length","thorax.length","scutellum.width","wing.length","wing.width"
1,0.921,0.852,0.893,0.836,0.855,0.849
0.921,1,0.918,0.924,0.835,0.863,0.882
0.852,0.918,1,0.854,0.801,0.759,0.798
0.893,0.924,0.854,1,0.804,0.91,0.949
0.836,0.835,0.801,0.804,1,0.778,0.665
0.855,0.863,0.759,0.91,0.778,1,0.953
0.849,0.882,0.798,0.949,0.665,0.953,1
