"petal.length","petal.width","stamen.length","style.length","stigma.size"
1,0.35,0.4,0.43,0.07
0.35,1,0.16,0.21,0.22
0.4,0.16,1,0.34,-0.21
0.43,0.21,0.34,1,0.22
0.07,0.22,-0.21,0.22,1
