"femurlength","headwidth","prothoraxlength","prothoraxwidth","ovipositorlength"
1,0.76,0.49,0.72,0.56
0.76,1,0.54,0.8,0.56
0.49,0.54,1,0.51,0.42
0.72,0.8,0.51,1,0.57
0.56,0.56,0.41,0.57,1
